Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,2028,5,Yes,14,3,2,6,3,4,2,0
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,9980,1,No,11,3,3,10,3,10,9,8
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,3298,0,Yes,12,3,4,7,2,6,2,0
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,2935,1,Yes,13,3,2,1,2,1,0,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,15427,2,No,16,3,3,31,3,25,8,3
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,3944,5,Yes,11,3,3,6,3,3,2,1
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,4011,0,No,18,3,4,5,2,4,2,1
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,3407,7,No,23,4,2,10,3,5,3,0
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,11994,0,No,11,3,3,13,3,12,6,2
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,1232,1,No,14,3,4,0,3,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,2960,2,No,11,3,3,8,3,4,2,1
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,3,5,Manager,3,19094,4,No,11,3,4,26,2,14,13,4
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,3919,1,Yes,22,4,2,10,3,10,2,6
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,6825,0,No,11,3,4,10,3,9,7,4
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,10248,3,No,14,3,4,24,3,22,6,5
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,3,5,Manager,1,18947,3,No,12,3,4,22,2,2,2,2
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,2496,4,No,11,3,4,7,3,1,1,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,6465,2,Yes,13,3,4,9,4,4,2,1
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,2206,1,No,13,3,1,10,3,10,0,1
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,2086,3,No,14,3,3,19,4,1,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,2293,2,Yes,16,3,1,6,2,2,0,2
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,2645,1,No,12,3,4,6,2,5,3,1
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,2683,1,Yes,14,3,3,3,3,3,2,0
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,2014,1,No,13,3,1,2,3,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,3419,9,Yes,14,3,4,6,4,1,1,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,5376,2,No,19,3,1,10,3,5,3,1
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,1951,1,No,12,3,3,1,3,1,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,2341,1,No,13,3,4,1,3,1,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,2293,1,No,12,3,3,1,2,1,0,0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,8726,1,No,15,3,4,9,3,9,8,1
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,4011,1,No,23,4,4,12,3,12,8,3
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,19545,1,No,12,3,4,23,3,22,15,15
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,4568,0,No,20,4,3,10,3,9,5,8
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,3022,4,No,21,4,1,8,3,1,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,5772,4,Yes,21,4,3,14,3,9,6,0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,2269,1,No,19,3,4,1,3,1,0,0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,5381,9,Yes,13,3,4,23,3,1,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,3441,1,Yes,13,3,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,5454,5,Yes,21,4,3,9,2,4,3,1
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,9884,2,Yes,13,3,3,10,3,4,0,2
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,4157,7,Yes,19,3,3,5,2,2,2,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,13458,1,Yes,12,3,3,15,3,15,14,8
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,9069,1,No,22,4,4,9,2,9,8,1
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,4014,3,Yes,15,3,3,4,3,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,5915,3,No,22,4,4,10,2,7,7,1
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,5993,1,No,18,3,3,7,4,7,5,0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,6162,1,Yes,22,4,2,9,3,9,8,7
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,2406,1,No,11,3,4,10,3,10,3,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,18740,5,Yes,12,3,4,29,2,27,3,13
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,7637,7,No,11,3,4,28,2,21,16,7
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,10096,1,No,13,3,2,17,3,17,14,12
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,14756,2,Yes,14,3,3,21,3,5,0,0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,6499,1,No,13,3,3,6,3,6,5,0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,9724,2,No,17,3,3,25,3,1,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,2194,4,No,13,3,4,5,2,3,2,1
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,3388,0,Yes,17,3,1,2,2,1,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,5473,7,No,11,3,4,20,2,4,3,1
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,2703,0,No,23,4,4,6,3,5,4,0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,2501,1,No,17,3,2,1,3,1,1,1
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,6220,1,No,17,3,2,10,3,10,4,0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,3038,3,No,12,3,2,5,3,1,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,4424,1,No,23,4,4,11,3,11,7,1
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,4312,0,No,14,3,2,16,3,15,13,2
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,13245,4,Yes,14,3,2,17,4,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,13664,4,No,13,3,1,16,4,5,2,0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,5021,8,Yes,22,4,4,16,3,4,2,0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,5126,1,Yes,12,3,3,10,2,10,8,3
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,2859,1,No,18,3,1,6,3,6,4,0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,10239,3,No,14,3,4,24,3,1,0,1
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,5329,7,Yes,12,3,4,17,3,13,11,1
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,4325,1,No,15,3,3,5,3,5,2,1
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,7260,4,No,11,3,1,37,2,6,4,0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,2322,3,No,13,3,3,3,3,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,2075,3,No,23,4,2,10,3,4,2,0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,4152,1,No,19,3,1,11,3,11,10,10
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,9619,1,No,16,3,4,9,3,9,8,4
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,13503,1,No,22,4,4,22,2,22,3,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,5441,0,Yes,22,4,4,11,1,10,7,1
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,5209,1,Yes,12,3,2,11,2,11,8,2
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,10673,2,Yes,13,3,3,21,2,10,9,9
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,5010,1,No,16,3,1,12,3,11,8,5
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,13549,9,No,12,3,1,16,1,4,3,0
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,4999,0,No,21,4,1,4,2,3,2,0
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,4221,1,No,15,3,2,5,4,5,4,0
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,13872,0,No,13,3,3,38,2,37,10,1
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,2042,4,No,12,3,3,17,4,3,2,1
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,2073,4,Yes,22,4,4,7,3,3,2,0
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,2956,1,No,13,3,4,1,3,1,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,2926,1,Yes,18,3,2,1,3,1,0,1
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,4809,1,No,14,3,3,16,3,16,13,2
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,5163,5,No,14,3,4,17,4,1,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,18844,9,No,21,4,4,30,3,3,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,18172,3,Yes,19,3,1,28,2,8,3,0
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,5744,1,Yes,11,3,4,6,3,6,4,0
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,2889,1,No,11,3,3,2,3,2,2,2
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,2871,1,No,15,3,3,1,3,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,7484,3,No,20,4,3,23,2,13,12,12
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,6074,1,Yes,24,4,4,9,3,9,7,0
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,17328,2,Yes,12,3,3,23,3,5,3,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,2774,0,No,12,3,3,6,3,5,3,1
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,4505,6,No,15,3,3,12,3,1,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,7428,2,No,12,3,1,12,3,5,3,1
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,11631,2,No,12,3,4,14,3,11,10,5
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,9738,0,No,14,3,3,10,3,9,7,2
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,2835,5,No,22,4,1,7,3,1,0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,16959,1,Yes,12,3,4,25,4,25,12,4
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,2613,1,No,25,4,3,10,2,10,7,0
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,6146,0,No,13,3,1,8,4,7,7,0
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,4963,9,Yes,18,3,1,7,3,5,4,4
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,19537,7,No,13,3,3,23,3,20,18,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,6172,4,Yes,18,3,2,12,2,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,2368,1,No,19,3,3,5,2,5,4,4
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,10312,1,No,12,3,4,40,2,40,10,15
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,1675,1,Yes,19,3,4,0,2,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,2523,0,No,14,3,3,3,3,2,1,2
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,6567,1,No,14,3,3,16,2,15,11,5
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,4739,4,No,12,3,4,18,3,3,2,1
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,9208,4,No,11,3,4,16,3,2,2,2
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,4559,3,Yes,11,3,3,4,3,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,8189,3,Yes,13,3,3,12,3,9,7,0
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,2942,1,No,23,4,4,8,3,8,7,5
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,4941,6,No,20,4,4,7,3,3,2,0
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,10650,2,No,15,3,4,18,3,4,2,0
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,5902,4,No,14,3,3,17,4,15,11,5
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,8639,2,No,18,3,4,6,3,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,6347,0,Yes,19,3,4,12,1,11,9,4
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,4200,7,No,22,4,1,10,4,5,4,0
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,3452,5,No,13,3,2,9,2,6,5,0
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,4317,3,Yes,20,4,2,19,3,3,2,2
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,2632,1,No,14,3,3,5,2,5,4,0
32,No,Travel_Frequently,689,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,4668,0,No,17,3,4,9,4,8,7,0
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,3204,5,No,14,3,4,8,3,3,2,2
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,2720,0,No,13,3,4,6,3,5,3,1
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,17181,4,No,13,3,2,21,2,7,6,7
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,2238,2,No,21,4,4,7,3,5,0,1
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,1483,1,No,14,3,4,1,3,1,0,0
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,5605,1,No,11,3,1,20,3,20,7,2
35,No,Travel_Rarely,662,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,7295,1,No,13,3,1,10,3,10,8,0
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,2306,2,Yes,20,4,4,13,1,7,7,4
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,2348,8,No,18,3,3,20,1,17,9,0
32,No,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,8998,1,No,14,3,4,9,3,9,8,3
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,4319,1,No,13,3,1,10,3,10,7,0
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,2,Male,2,2,Manufacturing Director,3,6132,2,No,17,3,3,10,3,1,0,0
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,3346,4,Yes,20,4,2,9,2,1,0,0
40,No,Travel_Rarely,630,Sales,4,4,Marketing,3,Male,2,3,Sales Executive,4,10855,7,No,11,3,1,15,2,12,11,2
34,No,Travel_Frequently,303,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,2231,6,No,18,3,4,6,3,4,3,1
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,2323,1,No,24,4,1,2,3,2,2,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,2,2024,6,No,18,3,4,6,1,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,3,Male,3,1,Research Scientist,4,2713,1,No,11,3,3,5,1,5,2,0
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,9439,3,Yes,16,3,2,12,1,5,3,1
27,No,Non-Travel,1450,Research & Development,3,3,Medical,3,Male,2,1,Research Scientist,3,2566,1,Yes,15,3,4,1,2,1,1,0
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,3,Female,3,5,Manager,2,19926,3,No,15,3,2,21,3,5,4,4
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,Male,3,1,Research Scientist,3,2451,4,No,12,3,1,13,3,9,8,1
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,2,Female,3,3,Sales Executive,4,9419,2,No,12,3,3,12,3,10,9,7
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,Female,2,2,Sales Executive,4,8686,4,No,22,4,3,12,4,8,3,0
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,3,Male,3,1,Research Scientist,3,3038,3,No,20,4,1,8,3,5,4,1
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,3,Male,3,1,Research Scientist,2,3058,0,Yes,16,3,4,6,2,5,2,1
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,2325,0,No,21,4,1,1,4,0,0,0
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,4,Male,3,1,Laboratory Technician,2,2088,4,No,12,3,3,13,2,8,7,7
30,No,Non-Travel,111,Research & Development,9,3,Medical,3,Male,3,2,Laboratory Technician,1,3072,1,No,11,3,3,12,3,12,9,6
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,3,Female,3,2,Sales Executive,1,5006,4,Yes,11,3,1,9,4,5,4,0
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,3,Female,3,1,Research Scientist,1,4257,4,Yes,18,3,3,19,3,2,2,2
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,4,2500,0,No,14,3,1,4,4,3,1,0
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,1102,1,No,22,4,3,1,2,1,0,1
46,No,Travel_Rarely,526,Sales,1,2,Marketing,2,Female,3,3,Sales Executive,1,10453,1,No,25,4,3,24,3,24,13,15
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,2288,1,No,12,3,3,2,3,2,2,2
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,3,Female,3,1,Research Scientist,4,3929,8,Yes,23,4,3,7,3,4,2,0
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,4,Female,3,1,Research Scientist,2,2311,2,No,15,3,4,9,3,3,2,1
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,2,Female,3,1,Sales Representative,2,3140,1,Yes,22,4,4,4,2,4,3,0
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,3,Male,2,1,Laboratory Technician,3,3690,2,No,15,3,4,5,2,3,2,0
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,4,Female,4,2,Manufacturing Director,1,4450,1,No,11,3,3,5,3,4,2,1
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,4,Female,3,1,Research Scientist,2,2756,1,No,13,3,4,8,3,8,7,1
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,4,Female,3,5,Manager,3,19033,1,No,14,3,2,21,3,20,8,9
